greek,southern_us,filipino,indian,jamaican,spanish,italian,mexican,chinese,british,thai,vietnamese,cajun_creole,brazilian,french,japanese,irish,korean,moroccan,russian,general,cuisine
0,4,1,2,3,3,0,4,1,0,1,1,0,2,0,1,0,0,0,0,0,brazilian
2,5,0,3,0,1,5,20,3,1,2,1,4,0,1,1,1,1,0,1,4,mexican
0,3,1,8,2,1,1,6,4,1,6,4,0,2,2,6,0,1,4,0,8,indian
1,4,0,1,0,2,4,6,3,0,3,4,0,2,2,2,0,1,2,0,14,mexican
0,4,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,8,chinese
1,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,0,6,french
0,6,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,10,southern_us
1,4,0,0,0,0,1,2,1,0,0,0,6,0,1,1,1,0,0,1,6,southern_us
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,southern_us
0,1,2,0,0,0,1,2,9,0,3,7,0,0,0,7,0,5,0,0,8,japanese
1,10,0,2,1,4,4,7,2,2,2,1,5,1,4,1,2,1,1,1,6,southern_us
3,3,0,1,0,4,11,3,1,0,5,3,4,1,6,1,0,1,2,1,16,italian
1,7,0,2,1,0,3,5,2,2,0,0,3,0,2,1,2,0,0,2,12,southern_us
1,1,0,1,0,1,5,0,1,0,1,0,1,1,2,2,0,0,0,0,2,italian
2,6,1,6,9,3,5,7,3,3,1,1,5,0,5,2,2,0,1,0,26,jamaican
1,3,0,1,0,0,3,1,0,2,0,0,1,0,2,2,1,0,0,1,12,japanese
0,1,0,5,0,0,1,2,1,0,1,0,1,0,0,1,0,1,0,0,6,indian
0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,italian
0,1,0,1,0,1,3,4,0,0,0,0,0,0,3,0,2,0,1,0,10,irish
0,1,2,2,0,1,1,1,2,0,3,1,1,0,1,1,0,1,1,0,8,thai
1,6,3,6,3,3,5,3,12,1,11,5,2,3,3,5,0,3,2,1,2,thai
0,4,1,14,2,1,1,6,2,0,5,4,0,1,1,6,0,0,4,0,12,indian
2,3,1,8,7,2,3,3,5,5,3,3,3,0,3,3,1,0,2,0,24,jamaican
2,1,0,1,0,2,6,3,1,1,0,0,1,0,2,0,0,0,1,0,10,italian
2,2,2,3,1,2,4,1,2,0,8,3,1,1,2,3,0,0,1,0,6,thai
1,3,3,3,0,0,2,2,9,0,8,5,0,0,0,5,0,10,1,0,10,korean
2,4,1,1,2,2,3,3,2,3,1,1,3,0,4,1,2,1,0,2,4,french
2,9,0,1,1,1,6,2,1,1,0,0,2,0,5,1,2,0,1,1,2,french
0,3,1,1,0,2,3,2,2,1,1,1,1,1,2,0,1,0,0,0,10,southern_us
0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,spanish
9,6,1,11,3,4,7,10,10,1,5,3,2,2,3,9,0,3,5,0,18,indian
3,3,0,6,2,1,5,5,0,1,2,1,1,2,2,1,1,0,4,1,6,moroccan
2,3,0,1,1,3,7,4,2,1,2,1,2,0,2,0,0,1,0,0,8,italian
3,3,0,1,0,1,12,5,1,0,1,1,3,1,2,0,0,1,0,0,10,italian
2,2,1,9,2,4,3,5,3,1,3,3,1,3,3,3,1,1,6,1,20,moroccan
3,3,0,8,1,2,7,8,1,0,2,2,1,2,3,2,0,0,10,0,14,moroccan
0,3,1,0,0,1,2,2,0,0,0,1,0,3,0,0,0,0,0,0,0,vietnamese
0,2,0,0,0,0,3,0,2,0,1,1,0,0,0,1,0,1,0,0,6,japanese
0,2,1,3,0,2,2,5,2,0,3,2,0,2,0,3,0,1,1,0,6,mexican
0,12,0,0,1,1,5,4,0,1,0,0,7,0,2,1,0,0,0,0,14,cajun_creole
0,7,0,2,1,0,3,2,0,3,0,0,2,0,2,0,2,0,0,2,8,southern_us
0,2,0,1,0,3,6,1,2,2,0,0,1,0,13,1,1,0,0,1,2,french
1,3,1,17,3,2,1,8,4,0,7,5,1,3,3,6,0,1,4,0,10,indian
0,2,1,8,0,0,1,3,1,0,3,2,1,0,2,2,1,0,2,0,2,indian
3,3,1,3,0,2,11,4,2,1,1,0,2,0,2,2,0,2,0,1,4,italian
0,3,0,1,2,0,13,2,1,1,0,0,1,0,3,0,1,0,1,1,4,italian
1,2,0,5,0,1,5,2,2,0,2,1,3,0,2,1,0,1,0,0,8,indian
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,korean
0,3,0,0,0,1,1,1,1,1,0,0,3,1,1,0,1,0,0,0,12,spanish
1,1,0,1,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,4,italian
0,4,0,1,0,0,1,3,0,1,0,0,1,0,1,0,1,0,0,1,12,southern_us
0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,southern_us
2,1,3,1,1,0,3,2,3,0,2,1,0,0,1,1,0,1,0,1,4,greek
1,4,1,1,1,1,8,2,2,3,1,1,2,0,4,1,1,1,0,0,4,mexican
1,5,1,6,2,4,4,23,5,0,7,7,2,5,1,6,0,1,3,0,10,mexican
2,10,0,3,1,2,4,5,2,2,2,1,7,0,3,1,2,1,1,1,10,southern_us
1,4,3,14,2,1,2,8,4,0,8,4,1,4,0,6,0,2,4,0,12,indian
2,0,0,0,0,2,5,2,0,0,0,0,0,0,2,0,0,0,2,0,6,italian
4,4,1,2,1,3,7,4,4,2,2,1,3,0,4,1,1,1,1,0,6,italian
3,4,2,2,0,2,14,5,3,0,1,1,4,0,1,2,0,1,0,0,2,italian
0,2,0,3,0,2,1,1,2,0,2,2,1,0,0,1,0,1,0,0,8,japanese
0,5,1,0,0,0,7,9,1,1,1,0,2,0,0,0,1,0,0,0,2,italian
1,1,0,0,0,1,4,1,0,0,0,0,1,0,1,0,0,0,0,0,8,greek
1,3,1,3,1,1,4,9,10,0,8,6,1,1,1,5,1,5,1,1,8,korean
1,3,1,5,2,3,7,3,1,2,1,1,1,1,4,1,1,0,4,2,10,indian
0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,mexican
2,9,0,1,1,2,7,6,0,2,0,0,8,1,4,0,1,0,0,0,16,southern_us
3,13,1,6,4,4,11,6,1,7,1,1,3,0,6,1,9,1,6,2,10,irish
2,3,3,2,1,1,4,3,10,2,4,4,2,0,3,3,2,3,0,0,8,korean
1,3,5,4,2,1,4,5,15,1,6,6,1,1,1,6,2,5,1,1,16,chinese
1,4,1,4,2,3,2,12,2,0,2,2,1,4,1,2,0,0,2,0,10,mexican
1,4,0,1,0,2,3,3,1,0,2,1,2,1,1,1,0,0,2,0,8,southern_us
0,1,2,2,1,0,0,1,8,0,2,3,0,1,1,1,0,1,1,0,18,chinese
10,4,0,4,1,3,9,7,1,0,2,1,4,3,4,1,0,0,6,1,16,moroccan
0,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,14,irish
2,2,4,4,0,1,2,3,8,0,4,4,0,0,0,4,0,4,1,1,16,chinese
1,2,0,3,0,1,8,1,0,2,0,0,2,1,1,0,1,0,1,1,10,irish
3,4,0,3,4,1,2,7,0,3,0,0,2,0,3,0,3,0,3,1,6,mexican
5,4,0,2,0,5,10,4,1,2,2,2,4,1,5,1,1,1,2,1,8,italian
0,5,0,1,0,1,13,1,0,1,0,0,1,0,3,0,1,0,0,1,10,italian
3,3,0,3,0,4,16,4,2,1,3,1,2,1,7,1,0,1,2,0,12,italian
2,7,2,9,3,4,5,16,2,1,7,5,7,5,2,4,2,0,1,0,14,jamaican
1,1,0,0,0,0,3,14,1,1,0,0,0,0,0,0,0,0,0,0,2,mexican
0,3,0,1,1,0,1,1,2,2,0,0,0,0,0,3,0,0,0,0,8,japanese
1,4,1,4,4,5,2,4,5,1,3,2,2,2,2,3,0,0,1,0,8,spanish
0,1,0,0,0,0,0,0,7,0,0,2,2,0,0,1,0,1,0,0,12,chinese
1,2,0,1,1,0,2,10,0,1,0,0,1,1,1,0,1,0,0,1,2,mexican
0,2,0,0,0,0,1,0,0,7,0,0,0,0,2,0,1,0,1,0,6,british
1,2,0,9,1,3,3,6,3,0,3,2,1,2,6,5,1,0,4,0,8,indian
0,1,0,3,0,0,7,2,8,0,6,3,0,0,1,2,0,3,0,0,6,thai
1,2,1,4,1,2,6,6,2,1,2,1,6,2,3,1,1,1,1,1,12,southern_us
1,3,0,1,0,1,2,7,1,1,1,1,2,1,1,0,1,1,0,1,0,mexican
1,1,1,0,0,1,1,1,3,1,0,0,1,1,2,2,1,0,0,1,8,spanish
1,3,0,0,0,0,5,2,1,0,1,0,1,1,3,1,0,0,0,0,8,french
3,2,0,1,0,2,14,3,0,0,2,1,2,0,4,0,0,0,1,1,6,italian
1,5,1,6,2,0,4,5,2,1,2,2,3,0,4,2,1,0,2,1,6,indian
0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,8,british
2,2,0,1,0,3,6,5,0,1,2,1,1,0,3,0,1,0,4,1,14,spanish
2,2,0,2,0,2,12,2,2,0,2,2,2,0,2,1,0,1,2,1,8,italian
0,0,2,1,0,0,0,0,3,0,3,2,0,0,0,1,0,2,0,0,6,korean
0,2,1,9,1,1,2,4,1,0,6,1,0,1,0,1,0,0,1,0,12,indian
1,6,2,4,1,4,5,14,5,0,5,5,1,3,2,5,1,2,1,1,16,mexican
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,mexican
1,9,0,0,0,0,1,2,1,0,0,0,1,0,1,1,1,0,0,1,6,southern_us
4,1,0,2,0,2,8,2,1,0,0,0,2,0,5,0,0,0,2,1,4,french
3,6,0,4,0,5,7,5,2,1,2,2,8,2,4,1,1,0,3,3,16,cajun_creole
0,0,0,10,0,1,0,1,2,0,2,1,0,1,0,2,0,0,1,0,12,indian
0,1,2,1,1,1,0,1,11,0,4,4,0,1,0,11,0,7,1,0,4,chinese
1,0,0,0,0,0,8,3,0,0,1,1,0,0,1,0,0,0,0,0,0,italian
1,3,0,6,0,2,9,3,2,0,0,0,1,1,4,1,0,1,1,1,14,italian
1,3,0,2,0,0,13,4,0,0,0,0,0,1,3,0,0,0,0,0,6,italian
2,7,1,4,2,1,3,5,5,2,2,2,4,0,2,2,2,2,0,1,16,southern_us
2,1,0,3,0,1,6,3,0,1,0,0,1,0,5,0,1,0,0,1,12,greek
2,3,3,5,2,2,3,8,14,1,7,9,2,2,1,8,1,7,2,0,14,japanese
0,9,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,2,cajun_creole
4,5,0,2,0,3,8,7,1,0,1,1,5,1,4,1,0,1,2,0,4,italian
1,3,2,2,2,1,3,3,7,1,4,4,1,2,0,4,0,8,2,0,14,korean
1,1,0,1,1,1,4,7,1,0,1,1,1,1,0,1,0,1,1,0,10,mexican
0,2,0,9,2,1,1,5,3,0,6,3,2,0,0,6,0,1,4,0,6,indian
3,3,0,3,0,4,10,3,3,2,3,1,3,0,4,1,0,1,2,2,8,italian
3,4,1,3,2,3,7,8,1,0,2,0,4,1,1,2,0,1,2,0,4,mexican
0,0,1,1,0,0,0,2,2,0,1,1,0,0,0,3,0,1,0,0,8,korean
1,2,0,2,0,1,3,5,11,0,4,3,3,0,1,4,0,3,1,0,12,chinese
4,3,0,0,2,2,7,6,1,1,1,4,3,0,7,0,1,1,0,0,16,french
1,5,2,7,3,1,1,2,4,1,8,3,1,1,4,3,0,1,2,0,12,chinese
2,3,2,9,2,6,10,8,4,0,3,1,5,1,3,2,0,2,3,0,12,spanish
2,4,2,5,2,2,3,3,12,1,7,5,4,0,3,7,1,2,0,0,14,chinese
1,4,2,1,0,0,5,1,0,1,0,0,0,0,4,0,0,0,0,1,14,spanish
0,5,0,13,1,2,2,3,2,1,3,0,1,0,0,5,0,1,3,0,10,japanese
3,2,2,3,1,3,3,4,3,0,3,2,0,2,1,3,0,0,2,0,14,mexican
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,french
0,1,1,1,1,0,0,1,4,0,1,1,0,1,0,9,0,3,1,0,8,japanese
1,4,0,6,2,3,7,16,4,1,4,2,3,2,2,3,1,1,3,1,12,mexican
1,3,0,1,1,2,12,1,1,0,0,0,1,0,2,0,0,1,0,0,16,italian
2,2,7,5,1,1,1,2,6,0,7,4,0,0,1,2,0,4,0,2,6,filipino
1,8,1,3,1,1,7,7,6,2,3,3,4,0,4,1,2,1,0,1,2,southern_us
1,1,0,1,0,0,16,2,0,0,0,0,0,0,1,0,0,0,0,0,8,italian
6,6,1,2,1,5,17,10,5,1,4,2,10,2,8,2,1,1,1,1,10,italian
3,7,5,9,4,2,4,8,15,1,9,8,4,2,2,7,1,6,3,0,12,chinese
2,8,0,3,1,4,5,20,2,0,4,1,4,1,1,3,0,1,2,0,10,mexican
0,1,1,10,1,3,3,2,1,0,1,1,1,1,2,1,0,1,3,0,4,indian
1,2,3,2,1,1,1,2,8,1,4,3,1,0,1,3,1,4,0,0,12,korean
1,4,1,4,1,2,5,19,3,0,4,3,2,1,1,1,0,1,2,0,8,mexican
0,8,1,2,1,3,2,15,5,2,6,5,1,3,0,4,2,3,1,0,10,mexican
0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,7,0,2,0,0,4,japanese
12,2,0,2,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,1,10,greek
0,4,1,2,1,2,1,9,4,0,3,3,1,2,0,2,0,1,1,0,8,mexican
0,6,1,3,1,0,1,2,2,1,1,1,4,0,1,1,1,1,0,1,6,southern_us
0,2,0,1,0,0,4,2,5,1,0,0,1,0,1,0,1,0,1,1,4,chinese
1,1,0,1,0,1,2,1,2,1,0,0,0,0,2,0,1,0,0,1,6,british
0,2,2,3,1,0,0,2,8,0,3,3,1,1,0,9,0,4,1,0,4,japanese
1,8,0,2,0,0,10,7,2,4,0,0,3,0,8,2,2,0,0,2,12,italian
0,0,0,1,0,1,0,4,1,0,1,1,0,1,0,1,0,0,1,0,8,mexican
0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,0,8,irish
7,4,0,3,0,2,6,3,1,1,1,1,0,0,1,0,0,0,2,0,10,greek
0,2,0,1,0,0,1,7,0,0,0,0,5,0,1,0,1,0,0,0,0,cajun_creole
0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,11,0,1,0,0,8,japanese
2,2,0,0,1,2,10,2,1,0,0,0,1,0,3,0,0,2,0,0,16,italian
0,14,1,3,1,2,4,3,2,1,2,2,11,1,2,2,1,1,0,1,16,southern_us
0,9,1,5,0,0,4,3,1,2,2,1,2,0,4,0,2,1,1,2,10,southern_us
0,3,0,0,0,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,4,southern_us
6,3,0,5,0,3,15,7,1,1,1,1,4,2,5,1,1,1,2,2,8,italian
1,2,0,10,0,0,3,1,3,0,2,0,0,0,1,0,0,0,1,0,8,indian
2,2,4,5,2,1,3,5,16,1,5,4,4,0,3,3,1,3,1,0,12,chinese
1,1,2,2,1,1,1,1,5,1,4,3,1,0,1,2,1,1,0,0,4,japanese
1,2,1,3,3,2,3,14,2,0,2,1,2,2,1,1,0,0,1,0,12,mexican
0,1,0,2,1,2,1,6,2,0,2,2,0,2,1,2,0,0,2,0,6,mexican
1,2,1,4,0,2,5,3,0,1,0,2,1,1,6,0,1,1,3,1,6,french
2,4,2,3,2,3,4,7,2,0,3,2,1,3,2,3,1,0,2,0,10,mexican
4,7,1,5,4,2,8,24,4,2,3,2,4,1,2,3,2,1,2,1,10,mexican
3,6,0,3,1,3,7,4,1,2,0,0,3,1,4,1,4,0,1,2,26,irish
0,0,1,1,0,0,2,1,15,0,4,5,0,0,0,4,0,3,1,0,8,chinese
0,1,0,0,0,2,4,6,0,0,0,0,1,0,1,0,0,0,0,0,0,mexican
12,3,0,4,0,3,5,3,1,1,1,1,1,0,2,1,0,1,2,1,14,greek
0,1,1,2,0,1,2,1,2,0,1,1,0,0,0,2,0,1,0,0,4,korean
1,1,0,3,1,2,1,18,1,0,3,2,1,3,1,1,0,0,2,0,10,mexican
6,5,0,7,2,8,12,7,3,1,2,1,4,2,7,3,1,2,5,1,14,spanish
2,5,0,1,0,1,9,3,0,0,0,0,2,2,3,0,0,0,1,0,14,italian
0,4,0,1,0,0,2,2,0,2,0,0,2,0,2,0,1,0,0,1,14,southern_us
5,4,0,3,1,4,10,5,3,2,2,0,4,1,5,0,1,0,3,2,8,italian
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,mexican
1,7,1,1,2,1,3,3,2,2,1,1,2,0,4,1,2,1,0,0,6,french
2,3,1,2,2,1,3,10,1,1,1,1,2,1,2,1,1,1,1,1,6,mexican
1,2,0,1,0,0,4,3,2,4,0,0,2,0,4,0,2,2,0,2,6,french
0,3,5,3,0,0,2,4,3,0,5,2,1,0,6,0,1,1,0,0,6,filipino
1,4,0,5,3,3,3,13,4,0,4,2,4,4,1,4,0,2,3,0,12,mexican
0,0,1,2,0,0,2,12,2,0,2,1,0,1,0,1,0,0,1,0,4,mexican
0,1,0,1,0,1,9,3,1,1,1,0,1,0,4,1,0,1,0,1,10,italian
2,3,1,6,3,4,6,11,2,0,3,2,2,3,2,2,0,0,3,0,12,mexican
0,1,1,0,0,0,1,1,2,1,1,1,2,0,0,1,0,1,0,0,10,southern_us
1,3,0,0,0,1,3,1,1,1,0,0,0,0,2,1,1,0,1,0,6,italian
2,3,1,1,0,3,2,4,4,0,5,3,2,1,0,9,0,4,0,1,8,japanese
4,4,0,1,1,2,11,4,2,0,1,0,4,1,4,1,0,0,0,0,4,italian
1,3,2,3,2,3,4,10,3,0,3,3,1,2,1,3,0,0,2,0,4,mexican
3,5,0,4,2,3,6,8,3,0,3,1,5,0,2,3,0,2,3,0,8,mexican
0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,12,southern_us
2,15,0,8,2,1,9,8,3,5,3,2,5,2,10,2,3,0,2,4,10,southern_us
0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,italian
1,6,1,3,3,1,2,3,2,0,1,1,1,1,0,1,0,1,1,0,18,jamaican
4,1,2,2,1,2,7,4,2,0,3,2,1,0,4,2,0,1,2,0,4,italian
2,0,1,4,0,0,2,4,10,0,4,3,3,0,1,5,0,7,1,0,10,korean
3,4,1,4,2,2,4,4,0,0,2,1,4,3,2,1,0,0,3,1,16,southern_us
1,4,0,13,1,3,3,9,3,2,5,3,4,1,1,5,1,0,8,0,12,indian
2,2,0,0,0,2,7,0,1,0,1,0,0,0,4,1,0,0,0,1,14,italian
2,3,3,19,4,1,3,7,3,0,7,3,2,2,2,6,0,1,5,0,18,indian
1,4,1,4,0,1,5,17,3,0,2,3,2,0,5,3,1,1,1,0,8,mexican
1,0,0,1,0,0,2,1,4,0,2,2,0,0,0,3,0,3,0,0,8,korean
0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,southern_us
0,4,2,2,1,2,1,7,7,0,9,10,0,3,2,8,0,2,1,0,4,vietnamese
0,1,0,1,0,0,0,1,2,0,1,1,1,0,0,1,0,3,0,0,8,korean
2,4,2,30,2,1,4,8,8,1,7,2,3,1,3,8,2,1,2,0,14,indian
0,6,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,southern_us
0,2,0,2,3,2,2,6,2,0,2,1,1,2,1,2,0,1,2,0,8,mexican
3,6,0,5,3,4,9,18,5,0,6,4,5,3,3,5,0,2,4,0,16,mexican
1,2,0,1,0,1,4,2,0,2,0,0,1,1,3,0,1,0,1,1,12,italian
1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,6,italian
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,korean
0,4,4,3,3,2,4,5,10,0,18,9,3,3,2,7,0,3,0,0,12,thai
0,7,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,10,southern_us
2,3,4,3,2,2,2,4,7,1,4,4,2,0,2,4,1,3,1,0,22,chinese
0,4,0,1,0,0,4,1,1,3,0,0,1,0,6,0,1,0,1,1,2,french
3,0,0,2,0,0,1,3,1,0,0,0,0,0,0,1,0,0,1,0,10,greek
0,6,0,1,0,2,3,6,2,2,1,1,4,1,1,3,2,0,0,0,18,southern_us
1,3,0,3,2,4,3,10,2,0,4,3,1,4,2,4,0,0,3,0,4,mexican
0,0,0,10,0,1,0,1,1,0,2,1,0,1,0,2,0,0,1,0,10,indian
1,10,0,2,1,0,4,3,2,3,0,0,3,0,3,2,2,0,0,2,14,southern_us
0,1,1,1,1,1,1,11,1,0,1,1,2,1,1,1,0,1,0,0,0,mexican
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,4,japanese
1,4,0,2,1,0,3,2,1,6,0,0,2,0,2,1,3,0,1,2,14,british
0,4,1,6,4,1,3,4,16,5,5,3,2,0,2,13,1,3,0,0,6,japanese
0,1,0,1,0,1,2,10,2,0,1,1,0,1,0,0,0,0,1,0,2,mexican
0,2,3,1,0,1,3,3,8,0,5,2,2,0,1,2,0,1,0,0,14,filipino
0,2,0,4,2,1,3,6,1,0,1,0,2,0,0,1,0,1,1,0,6,mexican
2,4,0,5,2,4,4,13,2,1,4,3,2,4,3,4,1,0,3,1,8,mexican
1,3,0,18,1,1,4,4,2,0,4,3,0,1,2,4,0,1,5,0,6,indian
3,2,0,3,0,0,10,7,0,1,1,0,1,0,4,1,1,0,1,1,6,mexican
1,2,1,6,0,1,1,2,2,0,1,1,2,0,1,2,0,0,2,0,2,indian
2,1,0,0,0,2,6,2,0,0,0,0,1,0,4,0,0,0,0,0,10,greek
0,3,0,1,0,0,12,4,0,0,0,0,0,0,4,0,1,0,0,0,8,italian
0,1,0,0,0,1,3,12,0,0,1,1,0,1,2,1,0,0,0,0,4,mexican
0,2,3,3,0,0,0,1,9,0,4,3,0,0,0,2,0,3,0,0,10,chinese
2,5,0,3,1,1,5,4,4,1,2,2,9,0,3,2,1,1,1,0,22,cajun_creole
1,2,0,1,1,0,14,2,1,0,2,0,2,0,2,0,0,0,1,0,4,italian
0,3,0,3,1,1,3,11,2,1,2,2,1,2,3,1,1,0,2,1,0,mexican
4,3,0,1,1,2,17,7,2,0,2,1,4,2,5,0,0,0,1,0,6,italian
3,5,1,3,2,2,7,4,3,2,2,1,4,1,3,2,2,2,1,0,12,italian
3,4,0,0,1,3,9,2,1,3,0,0,1,1,9,0,1,0,1,1,8,italian
1,3,5,3,2,1,3,7,20,1,8,7,2,1,1,6,1,5,1,0,12,chinese
0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,14,italian
0,4,2,6,1,3,3,8,9,0,19,10,2,3,1,4,0,2,2,0,4,thai
1,6,0,2,1,3,3,3,0,0,0,0,2,0,3,0,0,0,0,0,12,southern_us
2,2,0,1,0,1,10,2,0,1,0,0,2,2,2,0,1,0,1,1,8,italian
5,7,0,4,1,3,12,16,1,1,2,0,8,2,5,1,1,0,2,1,14,mexican
3,10,4,5,1,5,16,18,8,2,6,6,2,4,11,2,0,1,3,0,32,filipino
1,4,1,18,4,5,4,10,4,2,7,3,2,2,3,7,1,1,6,1,12,indian
1,3,4,2,2,1,1,5,3,0,2,2,1,0,1,1,0,2,1,1,16,filipino
0,1,1,1,1,1,5,1,1,0,2,1,3,1,1,1,0,1,0,0,16,italian
0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,6,italian
1,6,0,2,2,1,3,11,2,0,2,2,0,3,1,2,0,0,1,0,4,mexican
3,5,0,3,1,2,8,17,0,3,1,1,2,2,5,1,2,0,0,2,4,mexican
2,2,1,2,1,3,10,3,0,1,0,0,2,1,6,0,1,1,3,2,12,italian
